,id,timestamp,temperature
0,d1ca1ef8-0eac-42fc-af80-97106efc7b13,2022-03-07 15:55:20,2.96
1,4b8a66c4-0f3a-4f16-826f-8cf9397e9d18,2022-03-01 09:18:22,1.88
2,3d47a0c7-1e72-4512-812f-b6b5d8428cf3,2022-03-04 15:12:26,1.78
3,9500357b-ce15-424a-837a-7677b386f471,2022-03-02 12:30:42,2.18
4,c4b61fec-99c2-4c6d-8e5d-4edd8c9632fa,2022-03-05 09:09:33,1.38
5,125583af-e280-4627-9cc6-62413af94c6b,2022-03-06 09:39:53,0.04
6,3ef1f91d-f7ef-4bf2-a0f7-2c3720a7432c,2022-03-05 19:21:53,-28.34
7,5131c3ed-4f6b-4f52-93c9-fa2717499a80,2022-03-03 19:09:48,-2.47
8,0fd6edd9-36d3-4c7c-8184-53e746365067,2022-03-05 15:45:46,2.48
9,04766f4f-a431-4853-92c9-a6b28b7f7abb,2022-03-04 15:18:25,-3.03
10,25bb256b-6f45-42d4-8170-81f46842ac1a,2022-03-06 09:49:57,1.89
11,70051222-303f-40d1-b3a7-2a3f1ccd30b1,2022-03-02 09:37:38,0.62
12,c91ffc9c-0e81-4ccb-81c3-dae394094820,2022-03-04 18:33:19,1.65
13,2ec76d9d-28e9-42fc-83a5-0ae3dd0c9815,2022-03-07 17:10:04,1.08
14,5f227957-5f53-45b8-a793-d877375cf84c,2022-03-02 14:54:30,2.48
15,c1d28052-7b00-4426-a63c-bc8e099a9e77,2022-03-07 19:55:42,2.28
16,4043177e-1988-4b0f-8aa8-ca0e5e49f252,2022-03-02 15:10:17,2.32
17,6d98444a-904b-4cc2-8561-1d88a23e9881,2022-03-06 15:01:16,2.21
18,d7b2793c-4e0d-49c2-b598-841e7d349ae4,2022-03-06 16:23:49,-1.51
19,74e8e53d-fdc7-4b8e-ae98-9b04ee274e3f,2022-03-05 15:15:44,2.44
20,31bfb4be-0d05-4be5-9bcd-ccfd74a727f6,2022-03-06 12:03:58,2.47
21,68cde492-3dfc-449a-b538-70b863b198f3,2022-03-07 19:16:57,0.41
22,3c4c5b33-6843-40b3-8408-3826f50e125d,2022-03-02 13:52:27,20.01
23,5fe1ce01-05cf-4f75-851c-2ad174add4b1,2022-03-03 15:37:52,0.12
24,9c4ca664-101e-4b61-8e34-8bb9240a1f57,2022-03-07 10:37:57,0.78
25,d5b561a8-50b9-482a-b1e0-b5d61e8d8030,2022-03-04 19:55:22,-3.62
26,abf827a8-548d-43d2-a433-716e458946af,2022-03-01 09:38:44,-2.26
27,2c64c9fd-3a14-4bcc-a190-6b2ba63a57d6,2022-03-03 12:35:09,2.15
28,aaacef79-7bfa-470d-bc5e-7a49f33fa43c,2022-03-01 18:53:32,0.21
29,16bd9151-9769-40be-a8f3-546bac34bdb4,2022-03-04 18:56:26,27.85
30,4ec36e7b-1dc3-451b-b59a-6406e0ccaf32,2022-03-04 19:51:43,-1.28
31,f9bdb686-4220-4370-ba8a-404bd80893b5,2022-03-02 16:29:22,0.74
32,2fad579f-1b47-42b6-ace3-7d2ec7b104f7,2022-03-05 16:53:19,-3.32
33,71991043-31c5-426e-98e0-82ffdef2754e,2022-03-06 09:47:36,2.98
34,01a49832-99b1-445a-9e5e-c86aa47410ab,2022-03-05 13:29:02,-1.02
35,1bc45c7b-4986-4fc7-b9f9-dff2e25f6f0d,2022-03-06 10:12:18,2.3
36,97f7dfad-edeb-4294-92ef-2cb9e43006cc,2022-03-05 10:40:41,-17.95
37,15160a22-e408-4f42-bade-10339dcefab3,2022-03-03 19:04:28,-1.88
38,87313fd6-84ec-4ec2-95bc-0e44c7982439,2022-03-02 15:36:39,-3.47
39,5766269c-1eab-4d2f-a272-f60904a666fd,2022-03-02 16:35:04,-2.88
40,aafa9355-5436-4028-9321-296216a58cda,2022-03-05 10:40:33,-3.23
41,59693b06-5b35-4571-af81-cf9ab4e3a353,2022-03-03 19:17:33,-2.85
42,a17b9c19-32a2-43b7-9cb1-b39aba6ed61d,2022-03-04 11:25:07,-1.61
43,2874c1db-7b31-437a-8746-3a7a222f5f91,2022-03-05 13:18:26,-1.96
44,5a48d6f6-e466-41ee-84d0-2381ab42a7f2,2022-03-06 12:20:24,-27.65
45,eaabd28f-48d4-4c40-8055-46547edb0f69,2022-03-05 18:02:23,-3.49
46,9f302938-5ac4-402b-b526-1798d7c7f538,2022-03-02 15:31:02,-2.78
47,fedc2bc9-129f-4d87-86ad-b49f369e7d88,2022-03-06 13:32:19,0.36
48,13b39274-88f6-4d0d-8c14-532a81080b0a,2022-03-07 12:14:40,30.6
49,5badf211-9b44-48c6-826b-901cacbb6f90,2022-03-04 11:04:02,-27.86
50,c85f4b63-8a9a-455b-989d-8b0617fa06ea,2022-03-06 15:41:50,-2.22
51,8bb23525-20e1-4064-82bc-aacfe740d638,2022-03-03 13:32:34,-3.88
52,9eb5be49-0046-4656-9f12-45b983cf6ce9,2022-03-03 16:15:14,-2.7
53,05a5551e-f27c-4749-8c64-66f2934bca07,2022-03-03 19:38:14,-1.46
54,f1f8f451-9804-4208-87f1-0f28d7e807d3,2022-03-07 09:50:24,-2.02
